"Marketing.expense","Production.expense","Budget","Lead_.Actor_Rating","Lead_Actress_rating","Director_rating","Producer_rating","Critic_rating","Trailer_views","Time_taken","Twitter_hastags","Avg_age_actors"
35.4598,71.28,36079.725,7.715,7.825,7.655,7.895,7.8,455480,119.36,302.944,35
40.049,71.28,37074.07,7.735,8.03,7.82,7.935,6.8,466851,180.4,243.36,50
42.6162,71.28,31735.715,7.74,7.91,7.815,8.07,6.8,350102,197.08,242.032,34
47.0944,71.28,33729.96,7.805,7.97,7.76,8.115,6.8,436306,185.8,242.32,23
47.7598,71.28,33052.25,7.995,8.07,7.845,8.105,7.8,299587,175.28,282.112,25
43.0344,71.28,31669.055,8.1,8.165,8.02,8.14,7.8,394967,167.24,302.096,25
52.2564,71.28,33863.28,7.965,8.17,8.065,8.28,6.8,377048,193.4,222.16,40
21.2834,66.92,32957.815,8.155,8.365,8.23,8.53,7.16,475977,189.56,223.024,43
21.9488,66.92,32446.755,8.305,8.36,8.19,8.39,8.16,474433,150,303.2,39
21.6028,66.92,32496.75,8.01,8.125,7.94,8.055,7.16,482433,162.4,203.36,21
23.501,66.92,33141.13,7.925,8.17,7.98,8.23,7.16,498052,163.68,203.872,21
20.5526,60.9,36635.225,7.175,7.325,7.225,7.475,8.34,553070,138.32,244.928,49
20.6718,60.9,39018.32,7.185,7.345,7.235,7.43,8.34,567784,123.96,305.584,20
22.5488,68.82,37607.35,7.115,7.14,7,7.3,7.42,512492,154.64,264.256,30
22.83,68.82,34268.795,7.035,7.27,7.06,7.19,7.42,526836,162.12,304.048,52
23.1872,68.82,34502.105,6.98,7.17,7.08,7.33,8.42,473146,121.88,303.952,56
22.4538,68.82,33713.295,7.095,7.245,7.05,7.165,8.42,471960,180.48,243.392,53
23.4284,68.82,31563.51,7.385,7.525,7.395,7.49,8.42,470466,161.72,223.088,21
23.7672,68.82,32141.23,7.375,7.5,7.3,7.625,8.42,445250,186,243.2,39
24.5854,68.82,33496.65,7.085,7.18,7.125,7.23,7.42,374797,106.64,242.656,44
25.0774,68.82,29991.445,7.01,7.16,7.02,7.07,8.42,264112,141.76,282.304,34
24.3954,68.82,31119.11,6.945,7.05,6.85,6.98,7.42,422013,119.76,263.104,45
21.7746,66.28,33124.465,6.46,6.725,6.5,6.685,7.64,442225,0,223.152,21
20.8674,66.28,33968.825,6.48,6.63,6.46,6.795,8.64,502413,140.2,223.28,30
21.072,66.28,36168.605,6.49,6.62,6.44,6.815,8.64,504792,198,284,56
20.9962,66.28,33318.89,6.555,6.74,6.565,6.51,8.64,496877,183.36,223.744,41
20.272,63,32707.84,6.3,6.365,6.2,6.5,6.78,410055,173.56,303.024,55
20.2622,57.44,40268.195,5.55,5.795,5.605,5.655,8.42,512329,150.16,265.664,50
20.411,56.48,35457.565,5.34,5.535,5.285,5.465,8.54,539589,115.88,303.952,22
20.2864,57.64,37862.88,5.685,5.86,5.815,5.99,8.98,512129,148.64,305.056,45
22.0656,65.26,32924.485,6.37,6.66,6.45,6.66,7.06,467075,123.84,283.136,20
23.4342,65.26,33141.13,6.58,6.665,6.46,6.655,7.06,430178,124.4,302.56,48
22.2054,65.26,35863.08,6.225,6.46,6.285,6.58,7.06,525189,116.88,203.552,56
22.53,65.26,37562.91,5.885,6.155,5.95,6.045,8.06,469499,118,264,28
20.3902,57.76,39462.72,5.28,5.455,5.315,5.505,7.28,477265,165.2,205.28,30
20.7168,61.74,34940.95,6.69,6.785,6.575,6.725,8.78,545499,189.4,243.76,20
20.8758,61.74,32146.785,6.65,6.78,6.58,6.77,8.78,465605,179.76,223.104,44
21.1578,67.14,32652.29,6.68,6.8,6.74,6.785,8.22,493569,142.8,263.52,29
22.7108,67.14,31074.67,6.745,6.915,6.73,6.615,8.22,461313,176.96,302.784,40
22.5632,67.14,32691.175,6.725,6.805,6.7,6.77,7.22,499656,166.36,223.344,56
21.7652,76.62,35646.435,7.24,7.465,7.205,7.52,7.16,501152,195.68,283.872,38
23.1752,76.62,33113.355,7.28,7.4,7.29,7.455,8.16,491978,200.68,263.472,46
21.8328,76.62,33691.075,7.27,7.52,7.195,7.44,7.16,500290,117.12,203.648,20
23.9078,76.62,34690.975,7.32,7.385,7.25,7.47,8.16,493124,119.36,243.744,45
21.5792,80.66,34846.515,7.73,8.025,7.715,8.025,7.26,488560,157.64,203.856,40
21.9024,80.66,34918.73,7.585,7.75,7.585,8.07,8.26,496661,120.56,203.424,28
22.0306,80.66,34879.845,7.835,8.14,7.87,8.05,8.26,478283,146,243.2,22
21.7414,80.66,34107.7,7.84,7.97,7.87,8.14,7.26,490040,118.32,223.328,57
21.1292,80.66,34618.76,7.33,7.5,7.45,7.69,8.26,447528,176.48,303.392,53
21.6774,80.66,32630.07,7.735,7.885,7.59,7.785,8.26,467670,128.12,303.248,37
20.8226,64.72,37368.485,7.25,7.36,7.3,7.29,8.2,499995,129.2,284.48,54
20.8924,64.72,36768.545,7.145,7.445,7.145,7.46,7.2,510436,111.56,243.824,49
20.7318,64.72,35007.61,7.235,7.405,7.265,7.29,8.2,492574,121.92,203.968,20
20.7102,64.72,34257.685,7.24,7.41,7.165,7.385,7.2,485743,151.16,203.664,34
21.0118,63.98,35490.895,7.515,7.645,7.505,7.775,7.3,454277,133.56,283.824,23
21.147,63.98,36829.65,7.625,7.925,7.755,7.815,8.3,495454,194.64,244.256,56
21.0376,63.98,33413.325,7.69,7.92,7.755,7.78,7.3,436753,119,223.6,50
21.4302,63.98,34002.155,8.035,8.13,8.08,8.26,8.3,489563,144.88,243.552,43
21.132,61.82,38923.885,8.25,8.455,8.28,8.175,8.44,509357,139.44,203.776,28
21.0604,61.82,39323.845,8.17,8.31,8.135,8.555,8.44,515362,151.48,304.592,31
20.9368,61.82,35646.435,8.43,8.535,8.425,8.425,8.44,503147,147.04,303.616,58
20.7864,61.82,35579.775,8.42,8.525,8.295,8.575,7.44,496193,164.8,263.52,23
20.8406,85.08,35785.31,8.02,8.295,8.015,8.34,8.36,489837,183.16,283.664,60
20.575,85.08,34502.105,8.04,8.225,8.095,8.305,8.36,508101,206,284,46
20.8588,85.08,34713.195,8.095,8.33,8.04,8.305,8.36,468556,114.24,263.296,54
22.4408,60.78,36801.875,8.215,8.385,8.12,8.29,7.4,489220,199.36,284.544,46
22.3008,60.78,34235.465,8.21,8.325,8.23,8.245,8.4,467769,204.56,243.424,21
22.4166,60.78,44823.295,8.15,8.34,8.215,8.305,7.4,543618,125.48,246.192,53
21.6374,60.78,43440.1,8.23,8.29,8.2,8.285,7.4,544945,217.52,207.008,25
21.372,60.78,41195.88,8.085,8.32,8.165,8.435,8.4,484613,131.28,265.312,31
22.9732,72.12,37368.485,8.45,8.66,8.595,8.74,6.82,471052,193,304.4,24
22.2864,72.12,37668.455,8.425,8.63,8.44,8.79,7.82,491484,144.6,204.24,58
24.5752,72.12,35579.775,8.485,8.725,8.635,8.725,7.82,457364,135.44,262.976,57
24.2322,72.12,34091.035,8.515,8.79,8.56,8.71,7.82,443252,137.72,283.088,36
23.424,72.12,32418.98,8.815,8.965,8.76,9.04,6.82,405008,205.8,283.12,20
22.6234,72.12,34035.485,8.825,9.025,8.915,8.99,6.82,442160,120.16,283.264,57
22.5604,72.12,35963.07,8.64,8.91,8.73,8.85,7.82,473768,171.92,203.168,48
25.2726,72.12,34602.095,8.715,8.86,8.56,8.775,6.82,437611,195.76,283.104,41
22.1586,72.12,34413.225,8.475,8.7,8.48,8.79,7.82,423752,138.68,203.472,37
22.0168,75.02,37301.825,8.595,8.685,8.5,8.87,8.44,495560,113.12,263.648,34
22.4658,75.02,32846.715,8.725,8.885,8.72,8.965,7.44,394329,0,303.008,35
24.4424,75.02,33841.06,8.705,8.875,8.725,8.6,8.44,405200,201.48,202.992,59
22.8462,75.02,34740.97,8.73,8.93,8.855,8.975,8.44,446050,133.4,242.96,39
23.4268,75.02,32930.04,8.72,8.795,8.64,8.92,7.44,415458,151.32,222.928,24
22.6316,75.02,34307.68,8.535,8.645,8.5,8.86,8.44,432696,130.48,263.392,23
23.0196,75.02,33446.655,8.615,8.755,8.54,8.595,7.44,454755,189.68,303.072,28
22.6116,75.02,32618.96,8.6,8.865,8.69,8.89,7.44,410730,160.16,283.264,40
22.8952,75.02,31835.705,8.52,8.74,8.54,8.685,8.44,463019,203.72,223.088,20
21.3798,106.3,32607.85,8.8,8.92,8.735,9.03,7.18,455844,156.8,203.52,23
21.433,106.3,33352.22,8.78,9.02,8.815,8.99,8.18,454602,194.12,203.248,39
21.8598,106.3,33113.355,8.83,9.075,8.865,9.05,8.18,388265,178.2,203.28,51
23.0076,106.3,32530.08,8.89,9.09,8.965,9.165,8.18,334417,182.92,202.768,51
21.9698,106.3,32657.845,8.895,9.13,8.9,9.06,8.18,395312,125.52,263.008,56
23.3804,106.3,33252.23,8.935,9.075,8.855,9.155,7.18,443766,162.56,283.424,22
27.747,106.3,31180.215,9.035,9.24,9.1,9.115,8.18,303828,154.28,202.512,42
25.183,98.78,31624.615,8.955,9.135,9.08,9.255,6.76,391198,118.48,302.592,31
26.5086,98.78,35724.205,9.02,9.195,9.04,9.115,7.76,444896,163.2,282.88,41
37.625,98.78,31313.535,8.85,9.06,8.95,9.175,6.76,406685,157.72,202.288,30
26.8012,98.78,35874.19,8.815,9.035,8.82,9.095,6.76,466796,179.68,263.072,25
43.8588,98.78,35140.93,8.73,8.985,8.79,8.955,6.76,438063,151.84,243.136,29
31.801,98.78,35396.46,8.795,8.92,8.8,8.83,6.76,456491,179.2,243.68,57
26.5964,98.78,32341.21,8.635,8.79,8.735,8.895,7.76,426316,205.36,202.944,58
39.5234,98.78,31980.135,8.825,8.86,8.735,8.885,6.76,402396,180.24,222.496,32
31.1556,98.78,35190.925,8.89,8.965,8.84,9.085,6.76,411162,157.24,222.896,37
26.4528,98.78,33007.81,8.87,9.08,8.91,9.205,6.76,394365,202.96,202.784,37
27.0466,98.78,35851.97,8.925,9.235,8.915,9.225,7.76,442884,138.84,222.736,40
24.996,98.78,32535.635,9.055,9.295,9.08,9.235,6.76,380380,161.32,282.128,39
30.8904,98.78,34168.805,9.045,9.205,9.16,9.255,7.76,411330,173.12,202.848,29
25.818,98.78,34296.57,9.07,9.23,9.065,9.41,6.76,354960,113.6,202.24,28
52.5728,98.78,27880.545,9.185,9.34,9.145,9.45,7.76,233100,199.76,242.304,43
86.421,94.16,30013.665,9.33,9.48,9.18,9.365,9.06,329378,105.36,262.144,42
101.948,94.16,30374.74,9.18,9.4,9.21,9.385,9.06,308802,146.24,262.496,25
75.5948,94.16,27236.165,9.26,9.46,9.225,9.365,8.06,294970,132.72,261.888,52
67.5868,94.16,34052.15,9.155,9.37,9.14,9.495,8.06,305675,155.52,202.208,59
63.101,94.16,31263.54,9.09,9.255,9.155,9.47,8.06,399297,112.24,202.496,32
67.3724,94.16,27363.93,9.115,9.32,9.17,9.475,9.06,286266,137.84,222.336,24
66.6198,94.16,28808.23,9.21,9.385,9.2,9.14,8.06,309356,197.12,282.848,43
74.6794,94.16,31091.335,9.12,9.39,9.205,9.24,8.06,347105,202.16,302.464,48
53.132,94.16,34007.71,9.175,9.24,9.035,9.315,8.06,428936,110.6,243.44,34
49.9264,94.16,30019.22,9.07,9.27,9.115,9.365,8.06,466687,129.84,223.136,42
42.5316,94.16,27841.66,9.09,9.22,9.05,9.42,9.06,455196,108.12,202.448,46
62.9836,94.16,31713.495,9.11,9.32,9.05,9.275,8.06,411772,121.76,243.104,58
48.277,94.16,34046.595,9.115,9.265,9.015,9.11,9.06,440004,148.8,302.72,48
90.7002,94.16,34174.36,9.06,9.275,9.04,9.13,9.06,432078,198.24,222.496,37
68.9336,94.16,29285.96,9.005,9.145,9.075,9.305,8.06,426057,127.24,202.096,60
44.4716,94.16,38568.365,9.005,9.12,9.04,9.08,9.06,501350,164.52,266.608,57
46.8568,94.16,33696.63,9.02,9.23,9.05,9.185,8.06,483363,177.72,263.888,46
48.5004,94.16,36163.05,9.08,9.155,9.01,9.22,9.06,475753,143.32,243.728,36
45.4692,94.16,34718.75,9.07,9.24,9.06,9.03,9.06,540041,168.8,244.32,23
49.2672,94.16,41601.395,8.915,9.055,8.935,9.155,8.06,539697,210,228,35
56.6754,94.16,43340.11,8.87,9.12,8.945,8.98,8.06,531084,168,248,22
50.3804,94.16,46523.125,8.87,9.03,8.8,8.975,9.06,561132,160,248,57
64.8472,94.16,32518.97,8.645,8.805,8.755,8.95,9.06,467883,167.08,303.632,56
78.48,94.16,33891.055,8.815,8.86,8.705,9.055,8.06,471586,200,244,22
56.0056,94.16,32646.735,8.655,8.895,8.71,8.89,8.06,468741,201.52,203.808,22
66.008,94.16,35102.045,8.855,8.98,8.88,9.085,8.06,473988,133.52,223.808,23
68.9906,94.16,35563.11,8.85,8.94,8.835,8.85,8.06,449755,110.92,303.568,22
44.1484,94.16,32635.625,8.65,8.79,8.64,9.07,9.06,438703,158.96,222.784,28
66.278,94.16,32663.4,8.69,8.82,8.725,8.985,8.06,470298,195.64,243.056,54
22.7828,63.1,30952.46,8.65,8.73,8.635,8.79,7.68,415584,187.24,243.696,38
21.8356,63.1,35640.88,8.57,8.715,8.615,8.805,7.68,467457,197.44,203.776,59
21.6894,63.1,32546.745,8.58,8.65,8.485,8.88,7.68,480435,195.04,303.616,35
21.3328,63.1,36363.03,8.39,8.545,8.395,8.41,7.68,500067,123.76,244.704,48
21.4044,63.1,33441.1,8.125,8.295,8.11,8.36,7.68,491916,171.28,303.712,49
21.085,63.1,35079.825,8.325,8.36,8.295,8.38,8.68,487150,141.84,283.936,31
21.3284,63.1,38107.3,8.405,8.625,8.395,8.75,7.68,513390,117.96,224.784,28
21.156,59.92,38773.9,8.445,8.725,8.58,8.59,8.44,505742,194.88,225.952,50
21.3176,59.92,43134.575,8.51,8.67,8.52,8.82,7.44,515276,169.92,286.368,60
22.0016,59.92,36457.465,8.48,8.665,8.545,8.62,8.44,493498,147,285.2,60
21.6616,59.92,31130.22,8.47,8.58,8.425,8.545,8.44,440780,198.56,204.224,27
21.2094,59.92,34179.915,8.285,8.475,8.25,8.43,7.44,463628,163.84,224.736,45
21.1204,59.92,43501.205,8.275,8.405,8.245,8.675,8.44,511949,120,268,35
21.575,61.88,37674.01,8.095,8.15,8.065,8.115,7.96,480787,156.8,265.12,23
22.5158,61.88,36418.58,7.69,7.86,7.66,7.655,8.96,537380,151.92,204.768,40
21.674,61.88,39912.675,7.585,7.785,7.66,7.835,8.96,520707,185.96,285.584,20
21.8136,61.88,38612.805,6.73,6.82,6.645,6.845,8.96,512163,123.2,225.28,55
21.3822,61.88,37435.145,6.645,6.79,6.63,6.975,7.96,507193,176.2,224.88,40
21.7328,61.88,39873.79,6.62,6.83,6.7,6.895,7.96,515199,210.56,225.824,40
20.4374,60.86,37774,6.77,6.935,6.775,7.08,7.88,503965,136.44,264.976,24
20.2878,60.86,36685.22,6.745,6.985,6.77,7.06,8.88,525053,185.64,284.656,59
20.2762,55.92,43745.625,7.095,7.235,7.12,7.25,9.12,546519,164,288,26
20.8022,58.04,40479.285,6.21,6.4,6.245,6.525,8.48,549247,145.32,305.328,20
20.9332,58.04,39479.385,6.18,6.49,6.3,6.41,8.48,511537,138.12,284.848,24
20.7536,58.04,40407.07,6.235,6.39,6.27,6.485,8.48,519868,203.84,285.536,43
20.63,57.94,38746.125,6.015,6.24,6.11,6.33,8.6,536549,159.96,265.584,24
20.3556,57.94,39634.925,6.105,6.185,6.015,6.39,7.6,535003,119.16,205.264,22
20.689,59.06,34229.91,6.8,6.965,6.8,6.89,8.06,501886,155.64,243.856,32
20.4354,59.06,42273.55,6.825,6.955,6.735,6.95,9.06,554735,210.92,286.768,30
20.702,60.36,43623.415,7.315,7.485,7.35,7.615,9.06,546954,175.4,227.76,22
22.7284,76.18,32724.505,7.88,8.19,7.945,8.09,8.28,456271,159.04,303.616,26
24.5938,76.18,35140.93,7.685,7.88,7.765,7.955,7.28,444948,133.76,223.904,52
25.0398,76.18,32124.565,7.68,7.875,7.7,8.04,8.28,378970,159,203.6,38
22.7174,76.18,33685.52,7.85,8.005,7.725,7.94,7.28,418851,137.76,283.904,31
28.7142,76.18,29685.92,8.025,8.07,7.93,8.225,7.28,367698,158,263.2,60
23.4892,76.18,33107.8,8.045,8.185,8.02,8,8.28,402133,160.68,243.472,36
27.5156,76.18,30019.22,8.005,8.295,8.1,8.27,7.28,347413,119.72,283.088,39
24.3438,76.18,32257.885,8.17,8.21,8.1,8.215,8.28,414813,136.96,263.584,20
22.8104,76.18,35413.125,7.945,8.04,7.91,8.215,7.28,504226,151.24,204.496,3
25.791,76.18,30063.66,8.16,8.26,8.165,8.235,8.28,298989,113.48,223.792,21
20.912,82.78,32707.84,8.28,8.515,8.285,8.695,8.72,429010,109.32,243.728,22
21.4026,82.78,36896.31,8.24,8.405,8.155,8.36,7.72,461695,185.48,284.592,23
22.2138,82.78,33057.805,8.54,8.56,8.46,8.66,7.72,411880,174.6,283.44,49
22.285,82.78,35402.015,8.175,8.375,8.315,8.405,8.72,451935,123.2,263.68,21
27.1618,67.4,38612.805,8.485,8.64,8.485,8.67,8.52,480270,174.68,224.272,23
28.1542,67.4,34241.02,8.345,8.48,8.42,8.66,8.52,369907,114.68,283.472,37
32.4712,67.4,38212.845,8.295,8.395,8.31,8.455,7.52,470809,189,244.4,50
32.294,67.4,36762.99,8.25,8.4,8.23,8.58,7.52,489836,194.04,244.816,39
26.3066,67.4,45917.63,8.52,8.635,8.435,8.62,8.52,549160,135.92,247.168,47
30.5386,67.4,48467.375,8.435,8.695,8.525,8.56,7.52,521198,150,268,20
27.6428,67.4,44662.2,8.255,8.52,8.345,8.45,7.52,560909,119.04,206.016,54
28.2476,67.4,39790.465,8.345,8.44,8.36,8.42,7.52,506523,126.64,205.056,34
25.9638,67.4,42695.73,8.225,8.35,8.195,8.475,8.52,547397,202.68,287.472,43
28.8356,67.4,36396.36,8.22,8.36,8.29,8.385,8.52,561219,146.6,305.04,47
30.74,67.4,33224.455,8.015,8.31,8.06,8.265,8.52,480986,165.72,203.888,59
29.2592,67.4,41173.66,8.06,8.33,8.065,8.2,7.52,540602,134.68,205.072,26
31.5058,67.4,46312.035,7.97,8.09,8.05,8.21,7.52,545730,132.68,226.672,28
26.6294,67.4,45812.085,8.09,8.255,8.13,8.225,7.52,529841,181.32,227.728,23
28.9582,67.4,37362.93,8.165,8.31,8.015,8.205,8.52,514773,197.6,264.64,32
26.609,67.4,33807.73,8.045,8.305,8.095,8.255,8.52,471552,183.6,283.84,57
30.4116,67.4,36835.205,7.77,8.05,7.9,7.985,7.52,502128,188.04,304.016,36
30.2366,67.4,40873.69,7.88,8.09,7.835,7.9,7.52,533135,210.6,245.04,34
21.6488,64.86,36001.955,6.87,6.94,6.775,7.035,8.68,523902,147.48,243.792,48
21.8504,64.86,36696.33,6.875,6.945,6.795,7.005,7.68,507617,111.32,303.728,51
22.2658,64.86,38312.835,6.755,6.935,6.8,6.84,8.68,470107,204.8,224.32,24
22.1224,64.86,33857.725,6.785,6.96,6.685,6.9,7.68,462958,166.04,263.216,41
22.058,64.86,35318.69,6.445,6.595,6.405,6.485,8.68,479264,120.88,203.552,42
22.5514,64.86,35513.115,6.47,6.515,6.435,6.505,7.68,537248,147.48,303.792,26
24.1216,66.72,31069.115,5.925,6.19,5.94,6.035,8.18,458708,125.04,242.816,42
23.8266,66.72,31135.775,5.86,6.085,5.86,6.285,8.18,405929,185.4,202.96,59
26.7966,66.72,33929.94,5.815,6.11,5.81,6.155,8.18,465288,141.72,223.888,25
23.9314,66.72,34585.43,5.915,6.005,5.85,6.12,7.18,484343,196.2,243.28,31
23.2878,66.72,35735.315,5.975,6.13,6.055,6.185,7.18,504043,167.8,303.92,43
23.8146,66.72,37318.49,5.96,6.2,5.96,6.23,8.18,531248,186.48,224.192,39
22.806,66.72,36035.285,6.25,6.34,6.185,6.43,7.18,522769,123.76,283.904,38
24.2818,66.72,35763.09,6.285,6.41,6.295,6.215,7.18,548870,205.92,243.968,50
21.6442,66.72,38646.135,5.41,5.575,5.45,5.755,7.18,534094,179.84,244.736,57
27.3788,66.72,45878.745,5.485,5.555,5.465,5.68,7.18,518247,217.12,266.848,53
20.9638,62.28,33929.94,5.305,5.495,5.345,5.42,7.72,528690,130.76,243.504,56
20.7096,62.28,32641.18,5.385,5.445,5.26,5.47,7.72,459998,156.36,303.344,31
20.3076,62.5,41406.97,6.67,6.985,6.665,7.01,8.82,524356,133.6,267.04,38
32.2308,62.94,48350.72,8.955,9.235,9.085,9.12,9.4,530690,172,228,54
33.2702,62.94,40734.815,8.9,9.13,8.99,9.195,8.4,477252,160.4,305.76,58
33.133,62.94,38007.31,8.9,9.09,8.84,9.145,8.4,483741,146.04,224.816,40
30.6824,62.94,41773.6,8.8,9,8.925,9,9.4,526451,133.24,226.896,24
36.5052,62.94,40701.485,8.795,8.99,8.895,9.16,8.4,450060,114.4,224.96,60
31.0014,62.94,40029.33,9.02,9.045,8.89,9.185,8.4,503379,170.6,285.84,36
35.2324,62.94,30885.8,8.95,9.015,8.97,9.095,8.4,458883,149.12,263.648,59
35.714,62.94,38962.77,8.89,9.07,8.82,8.955,9.4,440617,122.28,204.912,41
21.813,68.92,32885.6,7.89,8.185,8.015,8.075,8.28,442828,208.28,283.312,29
25.9832,68.92,32530.08,7.67,7.895,7.745,7.83,7.28,448615,124.44,303.376,27
23.2422,68.92,34663.2,7.72,7.815,7.655,7.95,7.28,527157,132.08,204.032,25
22.292,68.92,36318.59,7.995,8.185,7.94,8.045,7.28,502420,169.76,263.904,40
24.4376,68.92,42723.505,7.735,7.95,7.76,7.82,8.28,522502,120.08,205.632,39
21.1288,67.82,37540.69,7.9,8.01,7.81,8.12,8.48,510207,212.96,245.184,30
21.9208,67.82,38073.97,7.86,7.95,7.73,7.925,8.48,532339,176.8,245.12,23
22.0938,67.82,40368.185,7.53,7.66,7.515,7.72,7.48,490028,171.28,225.312,35
21.2254,67.82,37918.43,7.43,7.58,7.54,7.725,7.48,516911,125.24,225.296,21
21.5956,67.82,36007.51,7.89,7.96,7.8,8.075,8.48,504442,125.64,204.656,38
24.2076,61.66,37840.66,7.825,8.04,7.89,8.045,9.02,504458,192.04,245.616,26
20.7156,61.66,43440.1,7.51,7.665,7.58,7.855,9.02,538611,142.16,207.264,50
20.741,61.66,38707.24,7.225,7.54,7.215,7.53,9.02,546620,170.16,285.664,48
21.2258,61.66,42467.975,7.27,7.53,7.285,7.495,8.02,524593,174.4,247.36,25
20.3002,57.42,44012.265,6.925,7.08,7.015,7.21,9.28,564706,174,268,20
20.1812,60.94,39373.84,6.28,6.5,6.18,6.425,7.94,489220,156.88,245.152,30
20.2192,59.5,35846.415,6.335,6.445,6.26,6.345,7.94,511643,208.8,283.52,55
20.393,58.52,34607.65,5.395,5.54,5.295,5.595,8.36,449001,166.04,203.216,39
20.7742,65.64,34490.995,6.275,6.4,6.21,6.475,7.68,514434,199.28,283.712,60
20.918,65.64,35079.825,6.185,6.48,6.27,6.43,7.68,498744,116.92,243.568,22
20.8594,65.64,36468.575,6.335,6.505,6.275,6.25,8.68,459056,181.92,283.968,60
20.7004,64.9,38112.855,7.39,7.59,7.42,7.365,7.16,566644,161.4,224.56,53
21.5772,64.9,39707.14,7.44,7.515,7.295,7.515,8.16,542840,162.92,205.968,37
20.723,64.9,36829.65,7.375,7.48,7.315,7.595,8.16,529498,169.16,244.464,37
21.653,82.84,34035.485,7.12,7.305,7.165,7.4,7.8,486691,145.56,283.824,46
21.6398,82.84,33379.995,7.23,7.265,7.22,7.28,7.8,481269,176.68,223.472,23
22.5864,82.84,37096.29,6.9,7.135,6.965,7.08,8.8,534560,139.44,204.576,44
21.0744,82.84,36379.695,6.89,7.125,6.865,7.195,7.8,479856,208.84,204.336,26
22.8206,82.84,32163.45,6.72,6.85,6.825,6.965,7.8,405787,152.12,223.248,42
21.2932,59.48,35246.475,6,6.165,5.985,6.195,9.04,517172,189,263.6,48
21.1122,59.48,39112.755,6.08,6.095,5.945,6.22,8.04,524749,159.6,224.64,36
20.8834,59.48,38168.405,5.955,6.16,6.055,6.175,9.04,503113,181.92,223.968,29
20.7074,67.18,36607.45,7.185,7.4,7.25,7.175,8.78,456975,198.8,243.52,21
21.8532,67.18,36079.725,7.1,7.4,7.16,7.36,8.78,495797,158.56,224.224,42
22,67.18,38785.01,7.095,7.32,7.245,7.355,8.78,546989,165.24,285.296,34
21.103,59.36,40195.98,7.95,8.02,7.955,8.03,7.32,525924,138.44,205.776,55
21.0958,59.36,36751.88,8.185,8.475,8.175,8.425,7.32,462490,131.36,304.544,22
21.5006,59.36,41218.1,8.345,8.54,8.36,8.555,7.32,497990,213.36,245.344,23
20.9864,59.36,38046.195,8.36,8.555,8.345,8.375,8.32,490857,209.28,244.512,46
29.8596,74.8,36857.425,8.215,8.38,8.295,8.475,7.32,539571,143.12,223.648,31
26.988,74.8,33174.46,8.3,8.545,8.36,8.59,8.32,491345,202.12,223.248,51
72.7096,74.8,27625.015,8.685,8.86,8.685,8.735,7.32,447032,146.44,222.576,27
35.8082,74.8,34007.71,8.555,8.83,8.615,8.725,7.32,501252,164.84,303.536,46
